id;x_test;y_test;y_pred;explanations;meaningfulness;acceptability;faithfulness;explanation_accuracy_scores;explanation_accuracy_decisions;okd;similarity_threshold;adherence_to_knowledge_limits
389;As a QA I'd like to include acceptance test coverage for _http-client_ processor module so that I can validate the functionality as part of every CI build.;3;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text As a qa i'd like to include acceptance test coverage for _http-client_ processor module so that i can validate the functionality as part of every ci build is a user story, and is worth 8 story points. This was predicted because it is most similar to the text Developer id like study state management requirements brainstorm identify design add stateful stream processing support and similar to the text User need ability create docker images ci build build need docker image test deploy image environments and similar to the text Azure user id like data azure event hubs leverage service process analyze large volumes data (and these texts are all user stories with a worth of 8 story points).;0.01;8.62;1.0;8.33;1;1;1;1
390;Upgrade to Spring Batch 3.0.0 M3;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Upgrade to spring batch 300 m3 was most similar to the text Support service pcf and similar to the text Update spring boot 10 ga and similar to the text Create documentation composed modules (and these texts are not user stories).;0.03;4.48;1.0;7.9;1;1;1;1
391;Acceptance test must be able to handle log names with PID suffix Introduced by XD-2006 admin and container logs will have a pid suffix appended to their filename. The acceptance tests will have to identify the PID for the admin server and the container servers deployed in the cluster and then append the pid value to the filename contained in the xd_container_log_dir.;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Acceptance test must be able to handle log names with pid suffix introduced by xd-2006 admin and container logs will have a pid suffix appended to their filename the acceptance tests will have to identify the pid for the admin server and the container servers deployed in the cluster and then append the pid value to the filename contained in the xd_container_log_dir was most similar to the text Build scripts refer sub projects unique place based change build scripts refer two different places check list sub projects simplify make available one place maintenance and similar to the text Add property polled sources polled message sources return one message per poll default polling say file directory many files files emitted once per user need configure limit number messages emitted per poll and similar to the text Harmonize common deployer properties applied modules deployers concept customization deployed modules memory cpu disk etc ticket handling properties assumption want set defaults deployment time (and these texts are not user stories).;0.13;2.0;1.0;1.67;0;1;1;1
392;The stream definition is not deleted in redis container when the stream is destroyed This only happened with distributed mode that uses redis as store. The single mode which uses in memory store works fine. Step to reproduce: Create stream: curl -X POST -d name=httptest -d definition=http|log http://localhost:8080/streams redis 127.0.0.1:6379> keys *httptest* 1) modules:httptest 2) streams.httptest 3) stream.definitions.httptest Delete Stream: curl -X DELETE http://localhost:8080/streams/httptest redis 127.0.0.1:6379> keys *httptest* 1) streams.httptest 2) stream.definitions.httptest stream still there not deleted Recreate the stream curl -X POST -d name=httptest -d definition=http|log http://localhost:8080/streams Got: <?xml version=1.0 encoding=UTF-8 standalone=yes?><errors xmlns:ns2=http://www.w3.org/2005/Atom><error logref=StreamAlreadyExistsException><message>There is already a stream with name 'httptest'</message></error>;0;1;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts.  XUSP could not provide an answer as the amount of similarity between the given text The stream definition is not deleted in redis container when the stream is destroyed this only happened with distributed mode that uses redis as store the single mode which uses in memory store works fine step to reproduce: create stream: curl -x post -d name=httptest -d definition=http|log http://localhost:8080/streams redis 127001:6379> keys *httptest* 1) modules:httptest 2) streamshttptest 3) streamdefinitionshttptest delete stream: curl -x delete http://localhost:8080/streams/httptest redis 127001:6379> keys *httptest* 1) streamshttptest 2) streamdefinitionshttptest stream still there not deleted recreate the stream curl -x post -d name=httptest -d definition=http|log http://localhost:8080/streams got: <?xml version=10 encoding=utf-8 standalone=yes?><errors xmlns:ns2=http://wwww3org/2005/atom><error logref=streamalreadyexistsexception><message>there is already a stream with name 'httptest'</message></error> and the most similar text User trying access uri get fails forbidden error role view access details another url error does not exceed the minimum threshold of 75%.;0.03;2.0;1.0;1.67;0;0;0;0
393;Research Spark integration options *Spike scope:* * Brainstorm * Identify options * Document;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Research spark integration options *spike scope:* * brainstorm * identify options * document was most similar to the text Hdfs base integration core hdfs writer functionality spring batch and similar to the text Add integration tests job need add integration tests job and similar to the text Ignored consumer ignored consumer downstream modules end listening fewer partitions (and these texts are not user stories).;0.03;4.94;1.0;8.33;1;1;1;1
394;Custom location for modules.yml not working tried local xd-admin/xd-container after setting {code} export XD_MODULE_CONFIG_LOCATION=file:./spring-xd-1.0.0.BUILD-SNAPSHOT-yarn/config/ {code} have my twitter stuff in modules.yml in that directory but not picked up by the twitterstream module Also not working for me deploying on YARN this used to work at some point not sure how long ago I actually tested this part - M6/M7? The setting used for YARN deployment: {code} -Dxd.module.config.location: file:./ {code};0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Custom location for modulesyml not working tried local xd-admin/xd-container after setting {code} export xd_module_config_location=file:/spring-xd-100build-snapshot-yarn/config/ {code} have my twitter stuff in modulesyml in that directory but not picked up by the twitterstream module also not working for me deploying on yarn this used to work at some point not sure how long ago i actually tested this part - m6/m7? the setting used for yarn deployment: {code} -dxdmoduleconfiglocation: file:/ {code} was most similar to the text Create benchmarking application demonstrate high performance message processing application live repository stream documented run benchmark made easy execute use generate traffic order saturate stream and similar to the text Assess sinks close client cache os - mac deployment type - sha - required software - sample server description destroying 3 streams sink 4th fail error connection number clients 4 exceeded limit 3 allowed default evaluation license steps reproduce shell execute following 4 times stream create name stocks definition http deploy stream destroy stocks and similar to the text Give proper results back lukes original code uses code snippet seem behave strangely stored values seem fine method seems phony test 1 stream create foo definition 2 tap create bar definition 3 curl h gives default bucketing hourly chances empty (and these texts are not user stories).;0.01;2.0;1.0;1.67;0;1;1;1
395;Add more hands on example to MQTT doco Not everyone may be familiar with MQTT or esp. with MQTT inside Rabbit;0;3;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Add more hands on example to mqtt doco not everyone may be familiar with mqtt or esp with mqtt inside rabbit is a user story, and is worth 3 story points. This was predicted because it is most similar to the text Developer id like create tuple use measure tuple based payload performance and similar to the text Developer id like create separate lattice spi bundle spi variants one admin project and similar to the text Developer id like create separate spi bundle spi variants one admin project (and these texts are all user stories with a worth of 3 story points).;0.08;5.39;1.0;8.33;1;0;1;0
396;Update build to use SHDP 2.3.0.RC1;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Update build to use shdp 230rc1 was most similar to the text Ssl connections ignored and similar to the text Features bug fixes named channels and similar to the text Ssl support modules (and these texts are not user stories).;0.03;8.48;1.0;8.33;1;1;1;1
397;As a user I'd like to have the option to use the _SFTP_ source module so that I can access transfer and mange files over any reliable data streams. *Reference:* [Spring Integration SFTP Adapter|http://docs.spring.io/spring-integration/reference/html/sftp.html] Need to consider the infrastructure for testing.;2;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text As a user i'd like to have the option to use the _sftp_ source module so that i can access transfer and mange files over any reliable data streams *reference:* [spring integration sftp adapter|http://docsspringio/spring-integration/reference/html/sftphtml] need to consider the infrastructure for testing was most similar to the text Add additional options file source seems like current file source results initial poc things parameterized polled directory needs useful production might want revisit and similar to the text Move ftp support x package batch package commit support ftp added bunch x classes belong dirt proper though added extension style project jobs module depend and similar to the text Use correct constant based version used keep getting following warning warn spring shell - deprecated instead use switch use value constant based version used (and these texts are not user stories).;0.06;2.0;1.0;1.67;0;1;1;1
398;As a user I'd like to have the configuration option to use an alternative DLQ so I can publish the message this time with additional headers including one that contains the exception (and stack trace).;3;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text As a user i'd like to have the configuration option to use an alternative dlq so i can publish the message this time with additional headers including one that contains the exception (and stack trace) is a user story, and is worth 8 story points. This was predicted because it is most similar to the text Scd developer id like add support different binder types modules channels plug rabbit kafka source sink read write respectively and similar to the text User want configure docker containers using service discovery tools manage processes services cluster find talk one another and similar to the text Spring user id like use based receptor implementation admin spi based run data pipeline running cf (and these texts are all user stories with a worth of 8 story points).;0.07;8.55;1.0;8.33;1;1;1;1
399;Have counters use Double arithmetic instead of Long Now that we have --incrementExpression we often want to increment by some domain specific value that may not be integral (e.g. Watts in smartgrid demo);0;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Have counters use double arithmetic instead of long now that we have --incrementexpression we often want to increment by some domain specific value that may not be integral (eg watts in smartgrid demo) is a user story, and is worth 8 story points. This was predicted because it is most similar to the text Scd developer id like add support different binder types modules channels plug rabbit kafka source sink read write respectively and similar to the text User want configure docker containers using service discovery tools manage processes services cluster find talk one another and similar to the text Spring user id like use based receptor implementation admin spi based run data pipeline running cf (and these texts are all user stories with a worth of 8 story points).;0.07;7.13;1.0;8.24;1;0;1;0
400;Add ftp sink to default sink modules It would be nice to have a simple ftp sink. I had to do it for one of my projects. Therefore the sink already exists. I would like to contribute but I don't know how you do the 'testing' part for that kind of module.;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Add ftp sink to default sink modules it would be nice to have a simple ftp sink i had to do it for one of my projects therefore the sink already exists i would like to contribute but i don't know how you do the 'testing' part for that kind of module was most similar to the text Fix sonar build weird annotation dependency problem worked around compile sonar complains one solution add jackson 2 sonar manage and similar to the text Response code http source use case need http source module return instead 200 currently returned may codes useful able return simple additional option module allow configured and similar to the text Shell - handle pagination may broken 2 issues first need define proper ui interaction cli deal pagination course actual implementation (and these texts are not user stories).;0.02;2.09;1.0;1.67;0;1;1;1
401;As a user I want to be able to provide the partitioning logic for a named destination so that I can control the ordering of outbound messages.;1;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text As a user i want to be able to provide the partitioning logic for a named destination so that i can control the ordering of outbound messages is a user story, and is worth 8 story points. This was predicted because it is most similar to the text User id like option write file roll sink store events local file system and similar to the text Field engineer id like comparison storm examples spring easy relate implementation standpoint and similar to the text Pm id like smart grid demo ported spring samples (and these texts are all user stories with a worth of 8 story points).;0.04;7.13;1.0;8.24;1;1;1;1
402;UI: The user should provide username/password to gain access to the UI Secure Admin UI to challenge users to enter username and password to gain access.;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Ui: the user should provide username/password to gain access to the ui secure admin ui to challenge users to enter username and password to gain access was most similar to the text Create documentation general dsl syntax wiki section included well describes general usage dsl syntax and similar to the text Rename module also supports udp transport option allows udp well tcp and similar to the text Create streams test method execution keep track named streams create use destroy (and these texts are not user stories).;0.09;2.0;1.0;1.67;0;1;1;1
403;Upgrade sink and processor modules to use new conversion service;0;3;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Upgrade sink and processor modules to use new conversion service is a user story, and is worth 3 story points. This was predicted because it is most similar to the text Developer id like upgrade spring 13 release and similar to the text Developer id like review improve performance characteristics and similar to the text Spring user id like create streaming pipelines take advantage latest specs streaming (and these texts are all user stories with a worth of 3 story points).;0.02;6.15;1.0;8.33;1;0;1;0
404;Admin & Launcher startup fails when XD_JMX_ENABLED is set to true When exporting of MBeans are enabled via XD_JMX_ENABLED (also jmxEnabled as in application.yml) the Admin and Lancher server application fail to start. Since the admin applications has the same 'integrationMbeanExporter' bean name for IntegrationMBeanExporter as that its ParentConfiguration there is a naming conflicts and the exception thrown as: (Same is the case for launcher and its parent configuration) Exception in thread main org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'mbeanExporter' defined in class org.springframework.context.annotation.MBeanExportConfiguration: Invocation of init method failed nested exception is org.springframework.jmx.export.UnableToRegisterMBeanException: Unable to register MBean [org.springframework.integration.monitor.IntegrationMBeanExporter@1de40d3e] with key 'integrationMBeanExporter' nested exception is javax.management.InstanceAlreadyExistsException: org.springframework.integration.monitor:name=integrationMBeanExportertype=IntegrationMBeanExporter org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.initializeBean(AbstractAutowireCapableBeanFactory.java:1553) org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:539) org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:475) org.springframework.beans.factory.support.AbstractBeanFactory$1.getObject(AbstractBeanFactory.java:304) org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:228) org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:300) org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:195) org.springframework.beans.factory.support.DefaultListableBeanFactory.preInstantiateSingletons(DefaultListableBeanFactory.java:700) org.springframework.context.support.AbstractApplicationContext.finishBeanFactoryInitialization(AbstractApplicationContext.java:760) org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:482) org.springframework.boot.context.embedded.EmbeddedWebApplicationContext.refresh(EmbeddedWebApplicationContext.java:124) org.springframework.boot.SpringApplication.refresh(SpringApplication.java:609) org.springframework.boot.SpringApplication.run(SpringApplication.java:321) org.springframework.boot.builder.SpringApplicationBuilder.run(SpringApplicationBuilder.java:130) org.springframework.xd.dirt.server.AdminServerApplication.run(AdminServerApplication.java:60) org.springframework.xd.dirt.server.AdminServerApplication.main(AdminServerApplication.java:42) Caused by: org.springframework.jmx.export.UnableToRegisterMBeanException: Unable to register MBean [org.springframework.integration.monitor.IntegrationMBeanExporter@1de40d3e] with key 'integrationMBeanExporter' nested exception is javax.management.InstanceAlreadyExistsException: org.springframework.integration.monitor:name=integrationMBeanExportertype=IntegrationMBeanExporter org.springframework.jmx.export.MBeanExporter.registerBeanNameOrInstance(MBeanExporter.java:610) org.springframework.jmx.export.MBeanExporter.registerBeans(MBeanExporter.java:535) org.springframework.jmx.export.MBeanExporter.afterPropertiesSet(MBeanExporter.java:417) org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.invokeInitMethods(AbstractAutowireCapableBeanFactory.java:1612) org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.initializeBean(AbstractAutowireCapableBeanFactory.java:1549) ... 15 more Caused by: javax.management.InstanceAlreadyExistsException: org.springframework.integration.monitor:name=integrationMBeanExportertype=IntegrationMBeanExporter com.sun.jmx.mbeanserver.Repository.addMBean(Repository.java:437) com.sun.jmx.interceptor.DefaultMBeanServerInterceptor.registerWithRepository(DefaultMBeanServerInterceptor.java:1898) com.sun.jmx.interceptor.DefaultMBeanServerInterceptor.registerDynamicMBean(DefaultMBeanServerInterceptor.java:966) com.sun.jmx.interceptor.DefaultMBeanServerInterceptor.registerObject(DefaultMBeanServerInterceptor.java:900) com.sun.jmx.interceptor.DefaultMBeanServerInterceptor.registerMBean(DefaultMBeanServerInterceptor.java:324) com.sun.jmx.mbeanserver.JmxMBeanServer.registerMBean(JmxMBeanServer.java:513) org.springframework.jmx.support.MBeanRegistrationSupport.doRegister(MBeanRegistrationSupport.java:195) org.springframework.jmx.export.MBeanExporter.registerBeanInstance(MBeanExporter.java:663) org.springframework.jmx.export.MBeanExporter.registerBeanNameOrInstance(MBeanExporter.java:600) ... 19 more;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts.  XUSP could not provide an answer as the amount of similarity between the given text Admin & launcher startup fails when xd_jmx_enabled is set to true when exporting of mbeans are enabled via xd_jmx_enabled (also jmxenabled as in applicationyml) the admin and lancher server application fail to start since the admin applications has the same 'integrationmbeanexporter' bean name for integrationmbeanexporter as that its parentconfiguration there is a naming conflicts and the exception thrown as: (same is the case for launcher and its parent configuration) exception in thread main orgspringframeworkbeansfactorybeancreationexception: error creating bean with name 'mbeanexporter' defined in class orgspringframeworkcontextannotationmbeanexportconfiguration: invocation of init method failed nested exception is orgspringframeworkjmxexportunabletoregistermbeanexception: unable to register mbean [orgspringframeworkintegrationmonitorintegrationmbeanexporter@1de40d3e] with key 'integrationmbeanexporter' nested exception is javaxmanagementinstancealreadyexistsexception: orgspringframeworkintegrationmonitor:name=integrationmbeanexportertype=integrationmbeanexporter orgspringframeworkbeansfactorysupportabstractautowirecapablebeanfactoryinitializebean(abstractautowirecapablebeanfactoryjava:1553) orgspringframeworkbeansfactorysupportabstractautowirecapablebeanfactorydocreatebean(abstractautowirecapablebeanfactoryjava:539) orgspringframeworkbeansfactorysupportabstractautowirecapablebeanfactorycreatebean(abstractautowirecapablebeanfactoryjava:475) orgspringframeworkbeansfactorysupportabstractbeanfactory$1getobject(abstractbeanfactoryjava:304) orgspringframeworkbeansfactorysupportdefaultsingletonbeanregistrygetsingleton(defaultsingletonbeanregistryjava:228) orgspringframeworkbeansfactorysupportabstractbeanfactorydogetbean(abstractbeanfactoryjava:300) orgspringframeworkbeansfactorysupportabstractbeanfactorygetbean(abstractbeanfactoryjava:195) orgspringframeworkbeansfactorysupportdefaultlistablebeanfactorypreinstantiatesingletons(defaultlistablebeanfactoryjava:700) orgspringframeworkcontextsupportabstractapplicationcontextfinishbeanfactoryinitialization(abstractapplicationcontextjava:760) orgspringframeworkcontextsupportabstractapplicationcontextrefresh(abstractapplicationcontextjava:482) orgspringframeworkbootcontextembeddedembeddedwebapplicationcontextrefresh(embeddedwebapplicationcontextjava:124) orgspringframeworkbootspringapplicationrefresh(springapplicationjava:609) orgspringframeworkbootspringapplicationrun(springapplicationjava:321) orgspringframeworkbootbuilderspringapplicationbuilderrun(springapplicationbuilderjava:130) orgspringframeworkxddirtserveradminserverapplicationrun(adminserverapplicationjava:60) orgspringframeworkxddirtserveradminserverapplicationmain(adminserverapplicationjava:42) caused by: orgspringframeworkjmxexportunabletoregistermbeanexception: unable to register mbean [orgspringframeworkintegrationmonitorintegrationmbeanexporter@1de40d3e] with key 'integrationmbeanexporter' nested exception is javaxmanagementinstancealreadyexistsexception: orgspringframeworkintegrationmonitor:name=integrationmbeanexportertype=integrationmbeanexporter orgspringframeworkjmxexportmbeanexporterregisterbeannameorinstance(mbeanexporterjava:610) orgspringframeworkjmxexportmbeanexporterregisterbeans(mbeanexporterjava:535) orgspringframeworkjmxexportmbeanexporterafterpropertiesset(mbeanexporterjava:417) orgspringframeworkbeansfactorysupportabstractautowirecapablebeanfactoryinvokeinitmethods(abstractautowirecapablebeanfactoryjava:1612) orgspringframeworkbeansfactorysupportabstractautowirecapablebeanfactoryinitializebean(abstractautowirecapablebeanfactoryjava:1549)  15 more caused by: javaxmanagementinstancealreadyexistsexception: orgspringframeworkintegrationmonitor:name=integrationmbeanexportertype=integrationmbeanexporter comsunjmxmbeanserverrepositoryaddmbean(repositoryjava:437) comsunjmxinterceptordefaultmbeanserverinterceptorregisterwithrepository(defaultmbeanserverinterceptorjava:1898) comsunjmxinterceptordefaultmbeanserverinterceptorregisterdynamicmbean(defaultmbeanserverinterceptorjava:966) comsunjmxinterceptordefaultmbeanserverinterceptorregisterobject(defaultmbeanserverinterceptorjava:900) comsunjmxinterceptordefaultmbeanserverinterceptorregistermbean(defaultmbeanserverinterceptorjava:324) comsunjmxmbeanserverjmxmbeanserverregistermbean(jmxmbeanserverjava:513) orgspringframeworkjmxsupportmbeanregistrationsupportdoregister(mbeanregistrationsupportjava:195) orgspringframeworkjmxexportmbeanexporterregisterbeaninstance(mbeanexporterjava:663) orgspringframeworkjmxexportmbeanexporterregisterbeannameorinstance(mbeanexporterjava:600)  19 more and the most similar text Source displays incorrect information using hdfs sink deploying stream hdfs sink jdbc source displays incorrect information jdbc source issue occurs 1 containers deployed source deployed one container sink deployed another container checked rest endpoints seem show correct information test case say 2 containers source sink deployed container show correct information stream used testing purposes follows - stream create definition jdbc employer employee hdfs deploy attach issue has also reported using source hdfs sink thanks does not exceed the minimum threshold of 75%.;0.03;2.03;1.0;1.67;0;1;0;0
405;As a Spring XD developer I'd like to port {{shell}} module from XD to s-c-s repo so I can use it as {{processor}} module to build streaming pipeline.;2;2;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text As a spring xd developer i'd like to port {{shell}} module from xd to s-c-s repo so i can use it as {{processor}} module to build streaming pipeline is a user story, and is worth 2 story points. This was predicted because it is most similar to the text Spring developer id like port tcp module scs use source module build streaming pipeline and similar to the text Spring developer id like port script module scs use processor module build streaming pipeline and similar to the text Spring developer id like port router module scs use sink module build streaming pipeline (and these texts are all user stories with a worth of 2 story points).;0.13;2.0;1.0;1.67;0;1;1;1
406;StreamDeployer.deleteAll() does not handle dependency tracking create a composed module use it in a stream delete ALL streams. Try to delete the composed module => fails thinking that it's still used by the stream;0;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Streamdeployerdeleteall() does not handle dependency tracking create a composed module use it in a stream delete all streams try to delete the composed module => fails thinking that it's still used by the stream is a user story, and is worth 8 story points. This was predicted because it is most similar to the text User id like use expressions inline stream definition level operate payload consistently using any custom modules and similar to the text Scd developer id like add support different binder types modules channels plug rabbit kafka source sink read write respectively and similar to the text User want configure docker containers using service discovery tools manage processes services cluster find talk one another (and these texts are all user stories with a worth of 8 story points).;0.03;2.0;1.0;1.67;0;0;1;0
407;Remove support for the leading : on items that have a declared namespace When using jobs taps we no longer need to have the leading :. i.e. :tap:foo. We should only support tap:foo.;0;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Remove support for the leading : on items that have a declared namespace when using jobs taps we no longer need to have the leading : ie :tap:foo we should only support tap:foo is a user story, and is worth 8 story points. This was predicted because it is most similar to the text Scd developer id like cc spi deployer cf improve overall design performance and similar to the text Field engineer id like comparison spark streaming examples spring easy relate implementation standpoint and similar to the text User id like separate file list deployment manifest properties include part stream definition (and these texts are all user stories with a worth of 8 story points).;0.06;6.15;1.0;8.33;1;0;1;0
408;Issue with pagination in web UI In JOBS tab Quick-filter search box paging functionality is not working as expected. Items stay in the page they were first loaded after filtering. ex. If there were 500 pages of jobs and you are filtering for a job which was in 345. page after the filtering you have to navigate to that page in order to see the job. It needs to be rendered on the first page.;0;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text Issue with pagination in web ui in jobs tab quick-filter search box paging functionality is not working as expected items stay in the page they were first loaded after filtering ex if there were 500 pages of jobs and you are filtering for a job which was in 345 page after the filtering you have to navigate to that page in order to see the job it needs to be rendered on the first page was most similar to the text Streamline arg management command line arguments especially default values currently scattered around different places aim regroup common place options classes make sense also happy system properties used vehicle and similar to the text Kafka tests assume offset 0 testing queue partitions content read assumed start offset 0 incorrect topics may exist already especially ci environment and similar to the text Library support changes shell level following merge following changes need happen level module list show libraries library list added show libs module register accept library register added module info accept libs library info added (and these texts are not user stories).;0.04;2.0;1.0;1.67;0;1;1;1
409;As a developer I'd like to upgrade to SHDP GA release so that I can sync -up with the latest bits.;1;4;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text As a developer i'd like to upgrade to shdp ga release so that i can sync -up with the latest bits is a user story, and is worth 5 story points. This was predicted because it is most similar to the text Developer want abstraction support multiple binder types future and similar to the text Developer id like revisit existing design identify known limitations gaps and similar to the text Developer id like upgrade reactor 20 release synchronize stable dependencies (and these texts are all user stories with a worth of 5 story points).;0.02;8.62;1.0;8.33;1;1;1;1
410;As a user I'd like to have an option of _AWS_ source module so that I can ingest data from Amazon S3 or use the Simple Email Service (SES). *Reference:* [Spring Integration AWS Extension|https://github.com/spring-projects/spring-integration-extensions/tree/master/spring-integration-aws];4;0;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The text was refused as it is not a user story. This was determined because the text As a user i'd like to have an option of _aws_ source module so that i can ingest data from amazon s3 or use the simple email service (ses) *reference:* [spring integration aws extension|https://githubcom/spring-projects/spring-integration-extensions/tree/master/spring-integration-aws] was most similar to the text Disable collection object conversion provides collection object conversion produce first item target type matches results unfortunate side effect list return tuple misleading case preferable treat error argument tuple and similar to the text Error message memory leak eg error - web application appears started thread named abandoned connection cleanup thread has failed stop likely create memory leak thread name may different and similar to the text Create documentation section best practices include guidance setting rabbit message prefetch concurrency also discuss bypass functionality - reference another section covers probably include scale http sources eg need use load balancer (and these texts are not user stories).;0.05;2.0;1.0;1.67;0;1;1;1
411;Add twitter oauth properties file to config dir Those property keys should then be provided as defaults for the placeholders in source/twittersearch.xml;0;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text Add twitter oauth properties file to config dir those property keys should then be provided as defaults for the placeholders in source/twittersearchxml is a user story, and is worth 8 story points. This was predicted because it is most similar to the text Developer id like publish performance benchmarks along infrastructure specifics users use reference setting spring cluster and similar to the text Developer id like setup performance testing infrastructure start benching kafka baselines continue and similar to the text Spring user id like use cluster message create streams batch pipelines (and these texts are all user stories with a worth of 8 story points).;0.11;2.0;1.0;1.67;0;0;1;0
412;As a developer I'd like to add support to _flush_ offsets intelligently so I can reliably process streams based on successful message acknowledgements from the module-producer.;5;5;XUSP is an algorithm that is designed to automatically determine the amount of story points for a given user story. The prediction of the story point value is made using a specific process called xDNN. xDNN classifies texts based on the similarity between it and already learned texts. The prediction is that the text As a developer i'd like to add support to _flush_ offsets intelligently so i can reliably process streams based on successful message acknowledgements from the module-producer is a user story, and is worth 8 story points. This was predicted because it is most similar to the text Developer id like study state management requirements brainstorm identify design add stateful stream processing support and similar to the text User need ability create docker images ci build build need docker image test deploy image environments and similar to the text Azure user id like data azure event hubs leverage service process analyze large volumes data (and these texts are all user stories with a worth of 8 story points).;0.01;2.0;1.0;1.67;0;1;1;1
